id,segment,region,channel,product,quantity,price,revenue,discount,created_at
418,MidMarket,West,Partner,Product_11,19,156,2948,16,2026-04-27
419,Startup,Central,Retail,Product_12,20,173,3437,23,2026-04-28
420,SMB,North,Web,Product_01,1,190,190,0,2026-04-01
421,Enterprise,South,Partner,Product_02,2,207,407,7,2026-04-02
422,MidMarket,East,Retail,Product_03,3,224,658,14,2026-04-03
423,Startup,West,Web,Product_04,4,241,943,21,2026-04-04
424,SMB,Central,Partner,Product_05,5,18,62,28,2026-04-05
425,Enterprise,North,Retail,Product_06,6,35,205,5,2026-04-06
426,MidMarket,South,Web,Product_07,7,52,352,12,2026-04-07
427,Startup,East,Partner,Product_08,8,69,533,19,2026-04-08
428,SMB,West,Retail,Product_09,9,86,748,26,2026-04-09
429,Enterprise,Central,Web,Product_10,10,103,1027,3,2026-04-10
430,MidMarket,North,Partner,Product_11,11,120,1310,10,2026-04-11
431,Startup,South,Retail,Product_12,12,137,1627,17,2026-04-12
432,SMB,East,Web,Product_01,13,154,1978,24,2026-04-13
433,Enterprise,West,Partner,Product_02,14,171,2393,1,2026-04-14
434,MidMarket,Central,Retail,Product_03,15,188,2812,8,2026-04-15
435,Startup,North,Web,Product_04,16,205,3265,15,2026-04-16
436,SMB,South,Partner,Product_05,17,222,3752,22,2026-04-17
437,Enterprise,East,Retail,Product_06,18,239,4273,29,2026-04-18
438,MidMarket,West,Web,Product_07,19,16,298,6,2026-04-19
439,Startup,Central,Partner,Product_08,20,33,647,13,2026-04-20
440,SMB,North,Retail,Product_09,1,50,30,20,2026-04-21
441,Enterprise,South,Web,Product_10,2,67,107,27,2026-04-22
442,MidMarket,East,Partner,Product_11,3,84,248,4,2026-04-23
443,Startup,West,Retail,Product_12,4,101,393,11,2026-04-24
444,SMB,Central,Web,Product_01,5,118,572,18,2026-04-25
445,Enterprise,North,Partner,Product_02,6,135,785,25,2026-04-26
446,MidMarket,South,Retail,Product_03,7,152,1062,2,2026-04-27
447,Startup,East,Web,Product_04,8,169,1343,9,2026-04-28
448,SMB,West,Partner,Product_05,9,186,1658,16,2026-04-01
449,Enterprise,Central,Retail,Product_06,10,203,2007,23,2026-04-02
450,MidMarket,North,Web,Product_07,11,220,2420,0,2026-04-03
451,Startup,South,Partner,Product_08,12,237,2837,7,2026-04-04
452,SMB,East,Retail,Product_09,13,14,168,14,2026-04-05
453,Enterprise,West,Web,Product_10,14,31,413,21,2026-04-06
454,MidMarket,Central,Partner,Product_11,15,48,692,28,2026-04-07
455,Startup,North,Retail,Product_12,16,65,1035,5,2026-04-08
456,SMB,South,Web,Product_01,17,82,1382,12,2026-04-09
457,Enterprise,East,Partner,Product_02,18,99,1763,19,2026-04-10
458,MidMarket,West,Retail,Product_03,19,116,2178,26,2026-04-11
459,Startup,Central,Web,Product_04,20,133,2657,3,2026-04-12
460,SMB,North,Partner,Product_05,1,150,140,10,2026-04-13
461,Enterprise,South,Retail,Product_06,2,167,317,17,2026-04-14
462,MidMarket,East,Web,Product_07,3,184,528,24,2026-04-15
463,Startup,West,Partner,Product_08,4,201,803,1,2026-04-16
464,SMB,Central,Retail,Product_09,5,218,1082,8,2026-04-17
465,Enterprise,North,Web,Product_10,6,235,1395,15,2026-04-18
466,MidMarket,South,Partner,Product_11,7,12,62,22,2026-04-19
467,Startup,East,Retail,Product_12,8,29,203,29,2026-04-20
468,SMB,West,Web,Product_01,9,46,408,6,2026-04-21
469,Enterprise,Central,Partner,Product_02,10,63,617,13,2026-04-22
470,MidMarket,North,Retail,Product_03,11,80,860,20,2026-04-23
471,Startup,South,Web,Product_04,12,97,1137,27,2026-04-24
472,SMB,East,Partner,Product_05,13,114,1478,4,2026-04-25
473,Enterprise,West,Retail,Product_06,14,131,1823,11,2026-04-26
474,MidMarket,Central,Web,Product_07,15,148,2202,18,2026-04-27
475,Startup,North,Partner,Product_08,16,165,2615,25,2026-04-28
476,SMB,South,Retail,Product_09,17,182,3092,2,2026-04-01
477,Enterprise,East,Web,Product_10,18,199,3573,9,2026-04-02
478,MidMarket,West,Partner,Product_11,19,216,4088,16,2026-04-03
479,Startup,Central,Retail,Product_12,20,233,4637,23,2026-04-04
480,SMB,North,Web,Product_01,1,10,10,0,2026-04-05
481,Enterprise,South,Partner,Product_02,2,27,47,7,2026-04-06
482,MidMarket,East,Retail,Product_03,3,44,118,14,2026-04-07
483,Startup,West,Web,Product_04,4,61,223,21,2026-04-08
484,SMB,Central,Partner,Product_05,5,78,362,28,2026-04-09
485,Enterprise,North,Retail,Product_06,6,95,565,5,2026-04-10
486,MidMarket,South,Web,Product_07,7,112,772,12,2026-04-11
487,Startup,East,Partner,Product_08,8,129,1013,19,2026-04-12
488,SMB,West,Retail,Product_09,9,146,1288,26,2026-04-13
489,Enterprise,Central,Web,Product_10,10,163,1627,3,2026-04-14
490,MidMarket,North,Partner,Product_11,11,180,1970,10,2026-04-15
491,Startup,South,Retail,Product_12,12,197,2347,17,2026-04-16
492,SMB,East,Web,Product_01,13,214,2758,24,2026-04-17
493,Enterprise,West,Partner,Product_02,14,231,3233,1,2026-04-18
494,MidMarket,Central,Retail,Product_03,15,248,3712,8,2026-04-19
495,Startup,North,Web,Product_04,16,25,385,15,2026-04-20
496,SMB,South,Partner,Product_05,17,42,692,22,2026-04-21
497,Enterprise,East,Retail,Product_06,18,59,1033,29,2026-04-22
498,MidMarket,West,Web,Product_07,19,76,1438,6,2026-04-23
499,Startup,Central,Partner,Product_08,20,93,1847,13,2026-04-24
500,SMB,North,Retail,Product_09,1,110,90,20,2026-04-25
